# Sedes municipais p/ camada 'Cidades' — gerado por tools/gera_cidades_ibge.py
# Fontes: IBGE (coordenadas/capital + agregado 6579). Corte: pop>=12000
nome,uf,lat,lon,populacao,capital
Maranguape,CE,-3.8914,-38.6829,108622,0
Iguatu,CE,-6.3628,-39.2892,102588,0
Quixadá,CE,-4.9663,-39.0155,88846,0
Tianguá,CE,-3.7296,-40.9923,86968,0
Pacatuba,CE,-3.9784,-38.6183,86564,0
Quixeramobim,CE,-5.1907,-39.2889,86431,0
Aquiraz,CE,-3.8993,-38.3896,85316,0
Eusébio,CE,-3.8925,-38.4559,82016,0
Barbalha,CE,-7.2982,-39.3021,81441,0
Horizonte,CE,-4.1209,-38.4707,81161,0
Crateús,CE,-5.1677,-40.6536,80130,0
Aracati,CE,-4.5583,-37.7679,79205,0
Canindé,CE,-4.3516,-39.3155,77376,0
Cascavel,CE,-4.1297,-38.2412,76866,0
Pacajus,CE,-4.1711,-38.465,75454,0
Russas,CE,-4.9267,-37.9721,74834,0
Itaitinga,CE,-3.9658,-38.5298,72512,0
Acaraú,CE,-2.8877,-40.1183,69317,0
Morada Nova,CE,-5.0974,-38.3702,65390,0
Camocim,CE,-2.9005,-40.8544,65251,0
Icó,CE,-6.3963,-38.8554,64745,0
Tauá,CE,-5.9859,-40.2968,64655,0
Viçosa do Ceará,CE,-3.5667,-41.0916,62972,0
Limoeiro do Norte,CE,-5.1439,-38.0847,62623,0
Trairi,CE,-3.2693,-39.2681,62004,0
São Gonçalo do Amarante,CE,-3.6052,-38.9726,58191,0
Beberibe,CE,-4.1774,-38.1271,55977,0
Granja,CE,-3.1279,-40.8372,55809,0
Brejo Santo,CE,-7.4847,-38.9799,54192,0
Boa Viagem,CE,-5.1126,-39.7337,52133,0
São Benedito,CE,-4.0471,-40.8596,50058,0
Itapajé,CE,-3.6831,-39.5855,49073,0
Mauriti,CE,-7.386,-38.7708,47501,0
Acopiara,CE,-6.0891,-39.448,45937,0
Itarema,CE,-2.9248,-39.9167,45852,0
Amontada,CE,-3.3602,-39.8288,44584,0
Guaraciaba do Norte,CE,-4.1581,-40.7476,44565,0
Ipu,CE,-4.3175,-40.7059,43084,0
Pedra Branca,CE,-5.4534,-39.7078,42227,0
Paracuru,CE,-3.4144,-39.03,41894,0
Santa Quitéria,CE,-4.3261,-40.1523,41569,0
Várzea Alegre,CE,-6.7826,-39.2942,40878,0
Pentecoste,CE,-3.7927,-39.2692,39903,0
Massapê,CE,-3.5236,-40.3423,39840,0
Missão Velha,CE,-7.2352,-39.143,38997,0
Mombaça,CE,-5.7384,-39.63,38451,0
Ipueiras,CE,-4.538,-40.7118,38287,0
Baturité,CE,-4.326,-38.8812,37147,0
Jaguaribe,CE,-5.9021,-38.6227,35143,0
Bela Cruz,CE,-3.05,-40.1671,34613,0
Ubajara,CE,-3.8545,-40.9204,34424,0
Paraipaba,CE,-3.438,-39.1479,34086,0
Jaguaruana,CE,-4.8315,-37.781,33115,0
